label,virus,kmeans,ward
HCoV-229E__250129-BoDT-NAS,HCoV-229E,4,2
HCoV-229E__260313-MBTA_Ha-NAS-P1,HCoV-229E,4,2
HCoV-HKU1__260115-Copl-NAS-P1,HCoV-HKU1,1,1
HCoV-HKU1__260304-BC-NAS-P1,HCoV-HKU1,1,1
HCoV-HKU1__260313-MBTA_Ha-NAS-P1,HCoV-HKU1,1,1
HPIV-4__260115-Copl-NAS-P1,HPIV-4,8,5
RSV-A__251217-BoDT-NAS-P1,RSV-A,3,4
RSV-B__260304-BC-NAS-P1,RSV-B,3,4
Rhinovirus_A__251217-BoDT-NAS-P1,Rhinovirus A,7,8
Rhinovirus_A__251219-MBTA_Ha-NAS-P1,Rhinovirus A,0,7
Rhinovirus_A__260514-BoDT-NAS-P1,Rhinovirus A,0,7
Rhinovirus_B__251217-BoDT-NAS-P1,Rhinovirus B,6,9
Rhinovirus_B__260613-MBTA_Ha-NAS-P1,Rhinovirus B,0,7
Rhinovirus_C__260115-Copl-NAS-P1,Rhinovirus C,6,9
Rhinovirus_C__260304-BC-NAS-P1,Rhinovirus C,5,10
SARS-CoV-2__260304-BC-NAS-P1,SARS-CoV-2,9,3
hMPV__260401-BC-NAS-P1,hMPV,2,6
