pool,virus,reads,breadth,meandepth,meanmapq,keep,low_mapq
250129-BoDT-NAS,HCoV-229E,4735.0,99.91,375.78,60.0,True,False
260313-MBTA_Ha-NAS-P1,HCoV-229E,43252.0,98.37,4944.73,60.0,True,False
260115-Copl-NAS-P1,HCoV-HKU1,6664.0,96.24,540.06,60.0,True,False
260304-BC-NAS-P1,HCoV-HKU1,3611.0,83.62,332.38,60.0,True,False
260313-MBTA_Ha-NAS-P1,HCoV-HKU1,48573.0,97.68,4396.72,60.0,True,False
260115-Copl-NAS-P1,HPIV-4,2331.0,94.22,333.18,59.9,True,False
251217-BoDT-NAS-P1,RSV-A,11634.0,98.34,2532.65,60.0,True,False
260304-BC-NAS-P1,RSV-B,20473.0,98.48,3866.73,59.9,True,False
251217-BoDT-NAS-P1,Rhinovirus A,2862.0,95.82,1464.97,55.3,True,False
251219-MBTA_Ha-NAS-P1,Rhinovirus A,45776.0,99.69,20670.9,53.3,True,False
260514-BoDT-NAS-P1,Rhinovirus A,86493.0,99.71,36604.2,46.6,True,False
260613-MBTA_Ha-NAS-P1,Rhinovirus A,1101.0,93.47,384.96,58.1,True,False
251217-BoDT-NAS-P1,Rhinovirus B,2302.0,88.03,1145.03,58.6,True,False
260613-MBTA_Ha-NAS-P1,Rhinovirus B,19955.0,96.41,8925.58,54.2,True,False
260115-Copl-NAS-P1,Rhinovirus C,29823.0,95.89,9865.61,16.4,True,True
260304-BC-NAS-P1,Rhinovirus C,1452.0,89.17,741.45,59.2,True,False
260304-BC-NAS-P1,SARS-CoV-2,42818.0,99.52,4673.44,60.0,True,False
260401-BC-NAS-P1,hMPV,23122.0,93.46,3005.45,57.8,True,False
