label,virus,cluster
HCoV-229E__250129-BoDT-NAS,HCoV-229E,6
HCoV-229E__260313-MBTA_Ha-NAS-P1,HCoV-229E,6
HCoV-HKU1__260115-Copl-NAS-P1,HCoV-HKU1,7
HCoV-HKU1__260304-BC-NAS-P1,HCoV-HKU1,7
HCoV-HKU1__260313-MBTA_Ha-NAS-P1,HCoV-HKU1,7
HPIV-4__260115-Copl-NAS-P1,HPIV-4,8
RSV-A__251217-BoDT-NAS-P1,RSV-A,5
RSV-B__260304-BC-NAS-P1,RSV-B,5
Rhinovirus_A__251217-BoDT-NAS-P1,Rhinovirus A,4
Rhinovirus_A__251219-MBTA_Ha-NAS-P1,Rhinovirus A,4
Rhinovirus_A__260514-BoDT-NAS-P1,Rhinovirus A,4
Rhinovirus_B__251217-BoDT-NAS-P1,Rhinovirus B,1
Rhinovirus_B__260613-MBTA_Ha-NAS-P1,Rhinovirus B,1
Rhinovirus_C__260115-Copl-NAS-P1,Rhinovirus C,3
Rhinovirus_C__260304-BC-NAS-P1,Rhinovirus C,2
SARS-CoV-2__260304-BC-NAS-P1,SARS-CoV-2,9
hMPV__260401-BC-NAS-P1,hMPV,10
