pool,virus,reads,breadth,meandepth,meanmapq
250129-BoDT-NAS,HCoV-229E,4735.0,99.91,375.78,60.0
250129-BoDT-NAS,HCoV-OC43,34.0,32.29,2.45,60.0
250129-BoDT-NAS,HCoV-NL63,1.0,7.1,0.07,60.0
250129-BoDT-NAS,Rhinovirus C,1.0,18.74,0.19,60.0
250812-MBTA_Ha-NAS,SARS-CoV-2,70.0,40.1,3.01,60.0
250812-MBTA_Ha-NAS,HCoV-NL63,38.0,23.14,1.68,60.0
250812-MBTA_Ha-NAS,Rhinovirus C,3.0,18.58,0.45,53.0
250812-MBTA_Ha-NAS,Rhinovirus A,1.0,13.34,0.13,36.0
251217-BoDT-NAS-P1,RSV-A,11634.0,98.34,2532.65,60.0
251217-BoDT-NAS-P1,Rhinovirus A,2862.0,95.82,1464.97,55.3
251217-BoDT-NAS-P1,Rhinovirus B,2302.0,88.03,1145.03,58.6
251217-BoDT-NAS-P1,HCoV-229E,44.0,90.24,4.76,60.0
251217-BoDT-NAS-P1,Rhinovirus C,13.0,41.1,4.26,25.4
251219-MBTA_Ha-NAS-P1,Rhinovirus A,45776.0,99.69,20670.9,53.3
251219-MBTA_Ha-NAS-P1,HCoV-229E,801.0,77.01,86.79,60.0
251219-MBTA_Ha-NAS-P1,HCoV-HKU1,1.0,8.97,0.09,60.0
251219-MBTA_Ha-NAS-P1,Influenza A,1.0,6.19,0.06,60.0
251219-MBTA_Ha-NAS-P1,Rhinovirus C,1.0,34.34,0.34,17.0
260109-BoDT-NAS-P1,SARS-CoV-2,771.0,68.72,60.18,60.0
260109-BoDT-NAS-P1,HCoV-229E,1.0,1.41,0.01,60.0
260115-Copl-NAS-P1,Rhinovirus C,29823.0,95.89,9865.61,16.4
260115-Copl-NAS-P1,Influenza A,15556.0,47.54,1917.56,59.7
260115-Copl-NAS-P1,HCoV-HKU1,6664.0,96.24,540.06,60.0
260115-Copl-NAS-P1,HPIV-4,2331.0,94.22,333.18,59.9
260115-Copl-NAS-P1,HPIV-2,224.0,35.65,35.75,60.0
260115-Copl-NAS-P1,Rhinovirus A,92.0,64.16,10.83,4.1
260115-Copl-NAS-P1,HCoV-229E,37.0,97.97,3.56,60.0
260115-Copl-NAS-P1,HCoV-NL63,1.0,8.3,0.08,60.0
260304-BC-NAS-P1,SARS-CoV-2,42818.0,99.52,4673.44,60.0
260304-BC-NAS-P1,RSV-B,20473.0,98.48,3866.73,59.9
260304-BC-NAS-P1,HCoV-HKU1,3611.0,83.62,332.38,60.0
260304-BC-NAS-P1,Rhinovirus C,1452.0,89.17,741.45,59.2
260304-BC-NAS-P1,HCoV-NL63,1133.0,63.21,90.83,60.0
260304-BC-NAS-P1,Rhinovirus A,64.0,9.0,3.88,25.1
260304-BC-NAS-P1,HCoV-229E,55.0,93.41,5.41,59.7
260304-BC-NAS-P1,Influenza A,1.0,10.75,0.11,60.0
260313-MBTA_Ha-NAS-P1,HCoV-HKU1,48573.0,97.68,4396.72,60.0
260313-MBTA_Ha-NAS-P1,HCoV-229E,43252.0,98.37,4944.73,60.0
260313-MBTA_Ha-NAS-P1,Rhinovirus A,36.0,89.06,2.75,6.6
260313-MBTA_Ha-NAS-P1,HCoV-NL63,19.0,60.29,1.76,60.0
260313-MBTA_Ha-NAS-P1,RSV-A,1.0,32.93,0.33,60.0
260401-BC-NAS-P1,hMPV,23122.0,93.46,3005.45,57.8
260401-BC-NAS-P1,Rhinovirus A,1812.0,75.02,356.5,53.2
260401-BC-NAS-P1,RSV-A,17.0,20.77,0.99,58.2
260401-BC-NAS-P1,HCoV-NL63,10.0,11.57,0.54,60.0
260401-BC-NAS-P1,Rhinovirus C,7.0,61.98,1.83,16.9
260401-BC-NAS-P1,SARS-CoV-2,2.0,14.18,0.14,60.0
260415-BC-NAS-P1,Rhinovirus A,24736.0,69.89,8967.34,52.7
260415-BC-NAS-P1,Rhinovirus B,11723.0,14.96,1264.6,1.0
260415-BC-NAS-P1,HCoV-NL63,1994.0,14.51,190.81,60.0
260415-BC-NAS-P1,SARS-CoV-2,538.0,26.58,23.52,59.9
260415-BC-NAS-P1,Rhinovirus C,261.0,35.26,73.98,55.2
260415-BC-NAS-P1,HCoV-229E,75.0,73.25,7.09,60.0
260415-BC-NAS-P1,HCoV-OC43,4.0,8.11,0.32,60.0
260514-BoDT-NAS-P1,Rhinovirus A,86493.0,99.71,36604.2,46.6
260514-BoDT-NAS-P1,Rhinovirus B,1.0,41.37,0.41,56.0
260514-BoDT-NAS-P1,Rhinovirus C,1.0,4.68,0.05,10.0
260613-MBTA_Ha-NAS-P1,Rhinovirus B,19955.0,96.41,8925.58,54.2
260613-MBTA_Ha-NAS-P1,Rhinovirus A,1101.0,93.47,384.96,58.1
260613-MBTA_Ha-NAS-P1,HCoV-OC43,1.0,12.15,0.12,60.0
