pool,rname,reflen,numreads,covbases,breadth,meandepth,meanmapq,virus
250129-BoDT-NAS,NC_002645.1,27317,4735,27293,99.9121,375.777,60.0,HCoV-229E
250129-BoDT-NAS,NC_006213.1,30741,34,9927,32.2924,2.44868,60.0,HCoV-OC43
250129-BoDT-NAS,NC_005831.2,27553,1,1957,7.10267,0.0710267,60.0,HCoV-NL63
250129-BoDT-NAS,NC_009996.1,7099,1,1330,18.735,0.18735,60.0,Rhinovirus C
250129-BoDT-NAS,NC_045512.2,29903,0,0,0.0,0.0,0.0,SARS-CoV-2
250129-BoDT-NAS,NC_038235.1,15222,0,0,0.0,0.0,0.0,RSV-A
250129-BoDT-NAS,NC_001781.1,15225,0,0,0.0,0.0,0.0,RSV-B
250129-BoDT-NAS,NC_006577.2,29926,0,0,0.0,0.0,0.0,HCoV-HKU1
250129-BoDT-NAS,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
250129-BoDT-NAS,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
250129-BoDT-NAS,NC_003443.1,15646,0,0,0.0,0.0,0.0,HPIV-2
250129-BoDT-NAS,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
250129-BoDT-NAS,NC_021928.1,17052,0,0,0.0,0.0,0.0,HPIV-4
250129-BoDT-NAS,NC_038311.1,7137,0,0,0.0,0.0,0.0,Rhinovirus A
250129-BoDT-NAS,NC_038312.1,7208,0,0,0.0,0.0,0.0,Rhinovirus B
250129-BoDT-NAS,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_026435.1,2274,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_026437.1,2151,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_026438.1,2280,0,0,0.0,0.0,0.0,Influenza A
250129-BoDT-NAS,NC_002204.1,2368,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_002205.1,2313,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_002206.1,2204,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_002207.1,1882,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_002208.1,1841,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_002209.1,1557,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_002210.1,1191,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_002211.1,1096,0,0,0.0,0.0,0.0,Influenza B
250129-BoDT-NAS,NC_006307.2,2365,0,0,0.0,0.0,0.0,Influenza C
250129-BoDT-NAS,NC_006308.2,2363,0,0,0.0,0.0,0.0,Influenza C
250129-BoDT-NAS,NC_006309.2,2183,0,0,0.0,0.0,0.0,Influenza C
250129-BoDT-NAS,NC_006310.2,2073,0,0,0.0,0.0,0.0,Influenza C
250129-BoDT-NAS,NC_006311.1,1807,0,0,0.0,0.0,0.0,Influenza C
250129-BoDT-NAS,NC_006312.2,1180,0,0,0.0,0.0,0.0,Influenza C
250812-MBTA_Ha-NAS,NC_045512.2,29903,70,11992,40.103,3.01167,60.0,SARS-CoV-2
250812-MBTA_Ha-NAS,NC_005831.2,27553,38,6375,23.1372,1.678,60.0,HCoV-NL63
250812-MBTA_Ha-NAS,NC_038311.1,7137,1,952,13.3389,0.133389,36.0,Rhinovirus A
250812-MBTA_Ha-NAS,NC_009996.1,7099,3,1319,18.5801,0.450204,53.0,Rhinovirus C
250812-MBTA_Ha-NAS,NC_038235.1,15222,0,0,0.0,0.0,0.0,RSV-A
250812-MBTA_Ha-NAS,NC_001781.1,15225,0,0,0.0,0.0,0.0,RSV-B
250812-MBTA_Ha-NAS,NC_002645.1,27317,0,0,0.0,0.0,0.0,HCoV-229E
250812-MBTA_Ha-NAS,NC_006213.1,30741,0,0,0.0,0.0,0.0,HCoV-OC43
250812-MBTA_Ha-NAS,NC_006577.2,29926,0,0,0.0,0.0,0.0,HCoV-HKU1
250812-MBTA_Ha-NAS,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
250812-MBTA_Ha-NAS,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
250812-MBTA_Ha-NAS,NC_003443.1,15646,0,0,0.0,0.0,0.0,HPIV-2
250812-MBTA_Ha-NAS,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
250812-MBTA_Ha-NAS,NC_021928.1,17052,0,0,0.0,0.0,0.0,HPIV-4
250812-MBTA_Ha-NAS,NC_038312.1,7208,0,0,0.0,0.0,0.0,Rhinovirus B
250812-MBTA_Ha-NAS,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_026435.1,2274,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_026437.1,2151,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_026438.1,2280,0,0,0.0,0.0,0.0,Influenza A
250812-MBTA_Ha-NAS,NC_002204.1,2368,0,0,0.0,0.0,0.0,Influenza B
250812-MBTA_Ha-NAS,NC_002205.1,2313,0,0,0.0,0.0,0.0,Influenza B
250812-MBTA_Ha-NAS,NC_002206.1,2204,0,0,0.0,0.0,0.0,Influenza B
