,HCoV-229E__250129-BoDT-NAS,HCoV-229E__260313-MBTA_Ha-NAS-P1,HCoV-HKU1__260115-Copl-NAS-P1,HCoV-HKU1__260304-BC-NAS-P1,HCoV-HKU1__260313-MBTA_Ha-NAS-P1,HPIV-4__260115-Copl-NAS-P1,RSV-A__251217-BoDT-NAS-P1,RSV-B__260304-BC-NAS-P1,Rhinovirus_A__251217-BoDT-NAS-P1,Rhinovirus_A__251219-MBTA_Ha-NAS-P1,Rhinovirus_A__260514-BoDT-NAS-P1,Rhinovirus_B__251217-BoDT-NAS-P1,Rhinovirus_B__260613-MBTA_Ha-NAS-P1,Rhinovirus_C__260115-Copl-NAS-P1,Rhinovirus_C__260304-BC-NAS-P1,SARS-CoV-2__260304-BC-NAS-P1,hMPV__260401-BC-NAS-P1
HCoV-229E__250129-BoDT-NAS,100.0,99.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCoV-229E__260313-MBTA_Ha-NAS-P1,99.89,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCoV-HKU1__260115-Copl-NAS-P1,0.0,0.0,100.0,99.09,96.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCoV-HKU1__260304-BC-NAS-P1,0.0,0.0,99.09,100.0,96.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCoV-HKU1__260313-MBTA_Ha-NAS-P1,0.0,0.0,96.49,96.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPIV-4__260115-Copl-NAS-P1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSV-A__251217-BoDT-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,83.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSV-B__260304-BC-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,83.52,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhinovirus_A__251217-BoDT-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhinovirus_A__251219-MBTA_Ha-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhinovirus_A__260514-BoDT-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhinovirus_B__251217-BoDT-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Rhinovirus_B__260613-MBTA_Ha-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Rhinovirus_C__260115-Copl-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Rhinovirus_C__260304-BC-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
SARS-CoV-2__260304-BC-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
hMPV__260401-BC-NAS-P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
