label,virus,pool,len,reflen,length_ratio,N_frac,keep
HCoV-229E__250129-BoDT-NAS,HCoV-229E,250129-BoDT-NAS,27282,27317,1.0,0.0,True
HCoV-229E__260313-MBTA_Ha-NAS-P1,HCoV-229E,260313-MBTA_Ha-NAS-P1,27149,27317,0.99,0.011,True
HCoV-HKU1__260115-Copl-NAS-P1,HCoV-HKU1,260115-Copl-NAS-P1,29241,29926,0.98,0.039,True
HCoV-HKU1__260304-BC-NAS-P1,HCoV-HKU1,260304-BC-NAS-P1,29893,29926,1.0,0.166,True
HCoV-HKU1__260313-MBTA_Ha-NAS-P1,HCoV-HKU1,260313-MBTA_Ha-NAS-P1,29963,29926,1.0,0.023,True
HPIV-4__260115-Copl-NAS-P1,HPIV-4,260115-Copl-NAS-P1,16053,17052,0.94,0.0,True
RSV-A__251217-BoDT-NAS-P1,RSV-A,251217-BoDT-NAS-P1,14959,15222,0.98,0.0,True
RSV-B__260304-BC-NAS-P1,RSV-B,260304-BC-NAS-P1,15042,15225,0.99,0.0,True
Rhinovirus_A__251217-BoDT-NAS-P1,Rhinovirus A,251217-BoDT-NAS-P1,6817,7137,0.96,0.003,True
Rhinovirus_A__251219-MBTA_Ha-NAS-P1,Rhinovirus A,251219-MBTA_Ha-NAS-P1,7148,7137,1.0,0.0,True
Rhinovirus_A__260514-BoDT-NAS-P1,Rhinovirus A,260514-BoDT-NAS-P1,7113,7137,1.0,0.003,True
Rhinovirus_A__260613-MBTA_Ha-NAS-P1,Rhinovirus A,260613-MBTA_Ha-NAS-P1,6708,7137,0.94,0.325,False
Rhinovirus_B__251217-BoDT-NAS-P1,Rhinovirus B,251217-BoDT-NAS-P1,6357,7208,0.88,0.002,True
Rhinovirus_B__260613-MBTA_Ha-NAS-P1,Rhinovirus B,260613-MBTA_Ha-NAS-P1,6964,7208,0.97,0.002,True
Rhinovirus_C__260115-Copl-NAS-P1,Rhinovirus C,260115-Copl-NAS-P1,6851,7099,0.97,0.001,True
Rhinovirus_C__260304-BC-NAS-P1,Rhinovirus C,260304-BC-NAS-P1,6360,7099,0.9,0.108,True
SARS-CoV-2__260304-BC-NAS-P1,SARS-CoV-2,260304-BC-NAS-P1,29728,29903,0.99,0.0,True
hMPV__260401-BC-NAS-P1,hMPV,260401-BC-NAS-P1,13156,13350,0.99,0.056,True
