our_genome,our_species,nearest_ref,similarity
OUR_RVA_251217,RV-A,RV-A__OL961547,0.099
OUR_RVA_251219,RV-A,RV-A__OL961534,0.067
OUR_RVA_260514,RV-A,RV-A__PX726324,0.048
OUR_RVB_251217,RV-B,RV-B__OL961522,0.045
OUR_RVB_260613,RV-B,RV-B__PP125278,0.03
OUR_RVC_260115,RV-C,RV-C__PQ605428,0.016
OUR_RVC_260304,RV-C,RV-C__OL961526,0.391
